Period,Sales,Operating_Profit,Other_Income,Depreciation,Interest,Profit_Before_Tax,Tax,Net_Profit,OPM_Percent,Profit_Trend,Sales_Growth,Net_Profit_Growth
2024-03-31,7113.8,1831.2,201.0,367.7,59.3,1605.2,295.4,1309.8,0.257415164890776,Profit Declined,,
2024-06-30,7696.1,2129.9,193.1,380.6,59.8,1882.6,490.2,1392.4,0.276750561972947,Profit Grew,0.08185498608338726,0.06306306306306309
2024-09-30,8038.2,2076.5,313.6,397.0,75.7,1917.4,575.5,1255.7,0.25832897912468,Profit Declined,0.04445108561479194,-0.09817581154840571
2024-12-31,8381.2,2273.0,154.4,471.4,81.7,1874.3,470.1,1413.7,0.271202214480027,Profit Grew,0.04267124480605111,0.12582623238034563
2025-03-31,8528.4,1997.9,527.6,454.7,65.6,2005.2,418.5,1593.3,0.234264340321749,Profit Grew,0.01756311745334793,0.12704251255570487
2025-06-30,8572.1,2173.6,290.5,476.1,83.0,1905.0,495.1,1418.1,0.253566803933692,Profit Declined,0.005124056094929941,-0.10996045942383736
2025-09-30,8828.3,2009.9,330.2,504.6,90.7,1744.8,408.0,1347.1,0.227665575478858,Profit Declined,0.0298876588000605,-0.05006699104435508
2025-12-31,8753.4,1887.5,271.1,521.0,94.4,1543.2,353.6,1209.9,0.215630497863687,Profit Declined,-0.008484079607625428,-0.10184841511394838
2026-03-31,7546.4,382.5,480.0,557.1,105.7,199.7,-21.6,220.9,0.0506864200148415,Profit Declined,-0.13788927730938838,-0.8174229275146706
2026-06-30,8099.8,859.9,355.5,536.6,125.5,553.3,117.7,444.3,0.106163115138645,Profit Grew,0.07333297996395638,1.0113173381620641
